,Average account balance,TN debtor transactions,TN creditor transactions,TN transactions,average debtor transaction,average creditor transaction,DBNCD,DFACD,Label
5515,0.18623831163244534,3.319237763695715e-08,2.174673017593744e-08,5.493910781289459e-08,0.5480196766740729,0.7813691499926709,-1.1445647461019706e-08,0.23334947331859796,0
5516,0.649602492571859,6.947934690012644e-07,3.8732739363863593e-07,1.0821208626399004e-06,0.3299497796936074,0.6203408503460156,-3.074660753626285e-07,0.29039107065240827,0
5517,0.3764460297807669,2.3022923238886343e-06,2.5941321959308553e-07,2.5617055434817198e-06,0.2208663283340475,0.736977449975517,-2.0428791042955484e-06,0.5161111216414694,0
5518,0.22471638239834446,9.142892794331752e-08,1.9394015018279474e-08,1.10822942961597e-07,0.19928049031408854,0.7666985172562812,-7.203491292503805e-08,0.5674180269421927,0
5519,0.16903282227484065,5.215666066180537e-09,5.215666066180537e-09,1.0431332132361073e-08,0.7328010822983654,0.6544385296744104,0.0,-0.07836255262395506,1
5520,0.2741311938176425,7.95774270101563e-08,7.280488003056853e-08,1.523823070407248e-07,0.7650321724695112,0.5357165288025718,-6.77254697958777e-09,-0.22931564366693932,1
5521,0.403270203816078,3.5397903456637693e-07,6.730587276966322e-08,4.2128490733604014e-07,0.12891605086925634,0.7018135464965243,-2.866731617967137e-07,0.5728974956272679,0
5522,0.6242404215229714,1.7364780746476198e-07,2.3153040995301596e-08,1.9680084846006358e-07,0.05872249448571922,0.5794300607102262,-1.5049476646946038e-07,0.520707566224507,0
5523,0.4206960880167159,2.600858567140962e-09,2.600858567140962e-09,5.201717134281924e-09,0.6414624744149445,0.6415143745476518,0.0,5.19001327072979e-05,1
5524,0.24283002558627764,3.156478346301861e-08,6.01233970724164e-09,3.757712317026025e-08,0.11288980067440627,0.735384300441993,-2.5552443755776968e-08,0.6224944997675868,0
5525,0.054824732174882825,9.506039893898671e-09,1.391955841606591e-08,2.3425598309964582e-08,0.8151773263156998,0.4181513032902218,4.4135185221672396e-09,-0.397026023025478,1
5526,0.9093330841536713,2.1410677832375914e-07,9.578461135536594e-08,3.098913896791251e-07,0.13605877248473341,0.33760809247519274,-1.1832216696839322e-07,0.20154931999045933,2
